Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
29	:	1687984476.071	     0.944	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_29 magma -b label:=2.2.5.1-64.1-1.1-gl-0 scripts/generate_inv.m
30	:	1687984476.073	     0.845	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_30 magma -b label:=2.2.5.1-71.1-1.1-gl-0 scripts/generate_inv.m
31	:	1687984476.075	     0.806	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_31 magma -b label:=2.2.5.1-71.2-1.1-gl-0 scripts/generate_inv.m
32	:	1687984476.078	     1.073	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_32 magma -b label:=2.2.5.1-76.1-1.1-gl-0 scripts/generate_inv.m
33	:	1687984476.080	     1.085	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_33 magma -b label:=2.2.5.1-76.2-1.1-gl-0 scripts/generate_inv.m
34	:	1687984476.082	     1.085	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_34 magma -b label:=2.2.5.1-79.1-1.1-gl-0 scripts/generate_inv.m
35	:	1687984476.085	     0.772	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_35 magma -b label:=2.2.5.1-79.2-1.1-gl-0 scripts/generate_inv.m
36	:	1687984476.088	     1.145	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_36 magma -b label:=2.2.5.1-80.1-1.1-gl-0 scripts/generate_inv.m
37	:	1687984476.090	     1.065	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_37 magma -b label:=2.2.5.1-81.1-1.1-gl-0 scripts/generate_inv.m
38	:	1687984476.092	     1.081	0	34	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_38 magma -b label:=2.2.5.1-89.1-1.1-gl-0 scripts/generate_inv.m
39	:	1687984476.094	     0.813	0	34	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_39 magma -b label:=2.2.5.1-89.2-1.1-gl-0 scripts/generate_inv.m
40	:	1687984476.095	     0.855	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_40 magma -b label:=2.2.5.1-95.1-1.1-gl-0 scripts/generate_inv.m
41	:	1687984476.097	     1.078	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_41 magma -b label:=2.2.5.1-95.2-1.1-gl-0 scripts/generate_inv.m
42	:	1687984476.099	     1.104	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_42 magma -b label:=2.2.5.1-99.1-1.1-gl-0 scripts/generate_inv.m
43	:	1687984476.102	     0.789	0	33	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_43 magma -b label:=2.2.5.1-99.2-1.1-gl-0 scripts/generate_inv.m
44	:	1687984476.105	     0.902	0	34	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_44 magma -b label:=2.2.5.1-100.1-1.1-gl-0 scripts/generate_inv.m
45	:	1687984476.107	     1.026	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_45 magma -b label:=2.2.5.1-101.1-1.1-gl-0 scripts/generate_inv.m
46	:	1687984476.108	     0.790	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_46 magma -b label:=2.2.5.1-101.2-1.1-gl-0 scripts/generate_inv.m
47	:	1687984476.112	     0.809	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_47 magma -b label:=2.2.5.1-109.1-1.1-gl-0 scripts/generate_inv.m
48	:	1687984476.114	     0.873	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_48 magma -b label:=2.2.5.1-109.2-1.1-gl-0 scripts/generate_inv.m
49	:	1687984476.117	     1.024	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_49 magma -b label:=2.2.5.1-116.1-1.1-gl-0 scripts/generate_inv.m
50	:	1687984476.119	     0.798	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_50 magma -b label:=2.2.5.1-116.2-1.1-gl-0 scripts/generate_inv.m
51	:	1687984476.121	     0.819	0	34	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_51 magma -b label:=2.2.5.1-121.1-1.1-gl-0 scripts/generate_inv.m
52	:	1687984476.122	     0.837	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_52 magma -b label:=2.2.5.1-121.2-1.1-gl-0 scripts/generate_inv.m
53	:	1687984476.124	     1.003	0	34	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_53 magma -b label:=2.2.5.1-121.3-1.1-gl-0 scripts/generate_inv.m
54	:	1687984476.126	     1.052	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_54 magma -b label:=2.2.5.1-124.1-1.1-gl-0 scripts/generate_inv.m
55	:	1687984476.128	     1.059	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_55 magma -b label:=2.2.5.1-124.2-1.1-gl-0 scripts/generate_inv.m
56	:	1687984476.130	     0.806	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_56 magma -b label:=2.2.5.1-125.1-1.1-gl-0 scripts/generate_inv.m
57	:	1687984476.132	     0.792	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_57 magma -b label:=2.2.5.1-131.1-1.1-gl-0 scripts/generate_inv.m
58	:	1687984476.134	     0.726	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_58 magma -b label:=2.2.5.1-131.2-1.1-gl-0 scripts/generate_inv.m
59	:	1687984476.136	     0.766	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_59 magma -b label:=2.2.5.1-139.1-1.1-gl-0 scripts/generate_inv.m
60	:	1687984476.138	     0.856	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_60 magma -b label:=2.2.5.1-139.2-1.1-gl-0 scripts/generate_inv.m
61	:	1687984476.140	     0.877	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_61 magma -b label:=2.2.5.1-144.1-1.1-gl-0 scripts/generate_inv.m
62	:	1687984476.142	     0.805	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_62 magma -b label:=2.2.5.1-145.1-1.1-gl-0 scripts/generate_inv.m
63	:	1687984476.144	     1.036	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_63 magma -b label:=2.2.5.1-145.2-1.1-gl-0 scripts/generate_inv.m
64	:	1687984476.146	     0.758	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_64 magma -b label:=2.2.5.1-149.1-1.1-gl-0 scripts/generate_inv.m
65	:	1687984476.148	     0.805	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_65 magma -b label:=2.2.5.1-149.2-1.1-gl-0 scripts/generate_inv.m
66	:	1687984476.150	     1.032	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_66 magma -b label:=2.2.5.1-151.1-1.1-gl-0 scripts/generate_inv.m
67	:	1687984476.152	     0.840	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_67 magma -b label:=2.2.5.1-151.2-1.1-gl-0 scripts/generate_inv.m
68	:	1687984476.153	     0.803	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_68 magma -b label:=2.2.5.1-155.1-1.1-gl-0 scripts/generate_inv.m
69	:	1687984476.155	     0.842	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_69 magma -b label:=2.2.5.1-155.2-1.1-gl-0 scripts/generate_inv.m
70	:	1687984476.157	     0.806	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_70 magma -b label:=2.2.5.1-164.1-1.1-gl-0 scripts/generate_inv.m
71	:	1687984476.158	     0.770	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_71 magma -b label:=2.2.5.1-164.2-1.1-gl-0 scripts/generate_inv.m
72	:	1687984476.160	     0.745	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_72 magma -b label:=2.2.5.1-169.1-1.1-gl-0 scripts/generate_inv.m
73	:	1687984476.162	     0.930	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_73 magma -b label:=2.2.5.1-171.1-1.1-gl-0 scripts/generate_inv.m
74	:	1687984476.164	     0.858	0	35	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_inv_74 magma -b label:=2.2.5.1-171.2-1.1-gl-0 scripts/generate_inv.m
