Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
28	:	1687983326.648	     1.059	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_28 magma -b label:=2.2.5.1-61.2-1.1-gl-0 scripts/generate_kposs.m
29	:	1687983326.650	     0.945	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_29 magma -b label:=2.2.5.1-64.1-1.1-gl-0 scripts/generate_kposs.m
30	:	1687983326.652	     0.903	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_30 magma -b label:=2.2.5.1-71.1-1.1-gl-0 scripts/generate_kposs.m
31	:	1687983326.654	     1.148	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_31 magma -b label:=2.2.5.1-71.2-1.1-gl-0 scripts/generate_kposs.m
32	:	1687983326.656	     0.935	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_32 magma -b label:=2.2.5.1-76.1-1.1-gl-0 scripts/generate_kposs.m
33	:	1687983326.657	     0.919	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_33 magma -b label:=2.2.5.1-76.2-1.1-gl-0 scripts/generate_kposs.m
34	:	1687983326.659	     1.131	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_34 magma -b label:=2.2.5.1-79.1-1.1-gl-0 scripts/generate_kposs.m
35	:	1687983326.660	     0.757	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_35 magma -b label:=2.2.5.1-79.2-1.1-gl-0 scripts/generate_kposs.m
36	:	1687983326.662	     0.972	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_36 magma -b label:=2.2.5.1-80.1-1.1-gl-0 scripts/generate_kposs.m
37	:	1687983326.664	     1.164	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_37 magma -b label:=2.2.5.1-81.1-1.1-gl-0 scripts/generate_kposs.m
38	:	1687983326.665	     1.124	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_38 magma -b label:=2.2.5.1-89.1-1.1-gl-0 scripts/generate_kposs.m
39	:	1687983326.667	     0.773	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_39 magma -b label:=2.2.5.1-89.2-1.1-gl-0 scripts/generate_kposs.m
40	:	1687983326.669	     0.769	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_40 magma -b label:=2.2.5.1-95.1-1.1-gl-0 scripts/generate_kposs.m
41	:	1687983326.671	     0.736	0	26	0	0	/usr/bin/time -f "%U %M %C" -o timings/GL_Gamma0_lt3000_cut5000_kposs_41 magma -b label:=2.2.5.1-95.2-1.1-gl-0 scripts/generate_kposs.m
