Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
64	:	1674273601.040	     0.233	0	0	0	0	magma -b cut:=5000 D:=64 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
66	:	1674273601.044	     0.232	0	0	0	0	magma -b cut:=5000 D:=66 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
67	:	1674273601.045	     0.231	0	0	0	0	magma -b cut:=5000 D:=67 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
68	:	1674273601.047	     0.232	0	0	0	0	magma -b cut:=5000 D:=68 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
70	:	1674273601.051	     0.229	0	0	0	0	magma -b cut:=5000 D:=70 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
71	:	1674273601.052	     0.230	0	0	0	0	magma -b cut:=5000 D:=71 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
72	:	1674273601.054	     0.231	0	0	0	0	magma -b cut:=5000 D:=72 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
74	:	1674273601.057	     0.231	0	0	0	0	magma -b cut:=5000 D:=74 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
75	:	1674273601.060	     0.230	0	0	0	0	magma -b cut:=5000 D:=75 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
78	:	1674273601.065	     0.227	0	0	0	0	magma -b cut:=5000 D:=78 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
79	:	1674273601.068	     0.227	0	0	0	0	magma -b cut:=5000 D:=79 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
80	:	1674273601.069	     0.229	0	0	0	0	magma -b cut:=5000 D:=80 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
81	:	1674273601.071	     0.230	0	0	0	0	magma -b cut:=5000 D:=81 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
82	:	1674273601.072	     0.230	0	0	0	0	magma -b cut:=5000 D:=82 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
83	:	1674273601.073	     0.232	0	0	0	0	magma -b cut:=5000 D:=83 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
84	:	1674273601.074	     0.234	0	0	0	0	magma -b cut:=5000 D:=84 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
86	:	1674273601.078	     0.231	0	0	0	0	magma -b cut:=5000 D:=86 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
87	:	1674273601.079	     0.236	0	0	0	0	magma -b cut:=5000 D:=87 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
90	:	1674273601.083	     0.236	0	0	0	0	magma -b cut:=5000 D:=90 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
91	:	1674273601.085	     0.236	0	0	0	0	magma -b cut:=5000 D:=91 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
94	:	1674273601.091	     0.232	0	0	0	0	magma -b cut:=5000 D:=94 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
95	:	1674273601.108	     0.233	0	0	0	0	magma -b cut:=5000 D:=95 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
96	:	1674273601.112	     0.233	0	0	0	0	magma -b cut:=5000 D:=96 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
98	:	1674273601.127	     0.220	0	0	0	0	magma -b cut:=5000 D:=98 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
99	:	1674273601.129	     0.220	0	0	0	0	magma -b cut:=5000 D:=99 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
100	:	1674273601.131	     0.221	0	0	0	0	magma -b cut:=5000 D:=100 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
102	:	1674273601.148	     0.207	0	0	0	0	magma -b cut:=5000 D:=102 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
103	:	1674273601.150	     0.207	0	0	0	0	magma -b cut:=5000 D:=103 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
106	:	1674273601.157	     0.201	0	0	0	0	magma -b cut:=5000 D:=106 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
107	:	1674273601.168	     0.196	0	0	0	0	magma -b cut:=5000 D:=107 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
108	:	1674273601.171	     0.194	0	0	0	0	magma -b cut:=5000 D:=108 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
110	:	1674273601.175	     0.193	0	0	0	0	magma -b cut:=5000 D:=110 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
111	:	1674273601.177	     0.192	0	0	0	0	magma -b cut:=5000 D:=111 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
112	:	1674273601.179	     0.195	0	0	0	0	magma -b cut:=5000 D:=112 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
114	:	1674273601.183	     0.192	0	0	0	0	magma -b cut:=5000 D:=114 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
115	:	1674273601.188	     0.197	0	0	0	0	magma -b cut:=5000 D:=115 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
116	:	1674273601.190	     0.197	0	0	0	0	magma -b cut:=5000 D:=116 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
117	:	1674273601.193	     0.197	0	0	0	0	magma -b cut:=5000 D:=117 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
118	:	1674273601.194	     0.200	0	0	0	0	magma -b cut:=5000 D:=118 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
119	:	1674273601.201	     0.194	0	0	0	0	magma -b cut:=5000 D:=119 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
121	:	1674273601.205	     0.195	0	0	0	0	magma -b cut:=5000 D:=121 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
122	:	1674273601.207	     0.196	0	0	0	0	magma -b cut:=5000 D:=122 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
123	:	1674273601.212	     0.196	0	0	0	0	magma -b cut:=5000 D:=123 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
125	:	1674273601.216	     0.194	0	0	0	0	magma -b cut:=5000 D:=125 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
126	:	1674273601.218	     0.196	0	0	0	0	magma -b cut:=5000 D:=126 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
127	:	1674273601.219	     0.196	0	0	0	0	magma -b cut:=5000 D:=127 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
128	:	1674273601.221	     0.197	0	0	0	0	magma -b cut:=5000 D:=128 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
130	:	1674273601.225	     0.196	0	0	0	0	magma -b cut:=5000 D:=130 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
131	:	1674273601.228	     0.195	0	0	0	0	magma -b cut:=5000 D:=131 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
132	:	1674273601.230	     0.196	0	0	0	0	magma -b cut:=5000 D:=132 ambient:=GL gamma:=Gamma0 scripts/generate_cusps.m
