Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
66	:	1674273536.802	     0.335	0	0	0	0	magma -b cut:=5000 D:=66 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
67	:	1674273536.804	     0.337	0	0	0	0	magma -b cut:=5000 D:=67 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
68	:	1674273536.806	     0.338	0	0	0	0	magma -b cut:=5000 D:=68 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
70	:	1674273536.828	     0.325	0	0	0	0	magma -b cut:=5000 D:=70 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
71	:	1674273536.830	     0.325	0	0	0	0	magma -b cut:=5000 D:=71 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
72	:	1674273536.832	     0.325	0	0	0	0	magma -b cut:=5000 D:=72 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
74	:	1674273536.836	     0.328	0	0	0	0	magma -b cut:=5000 D:=74 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
75	:	1674273536.838	     0.329	0	0	0	0	magma -b cut:=5000 D:=75 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
78	:	1674273536.843	     0.328	0	0	0	0	magma -b cut:=5000 D:=78 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
79	:	1674273536.848	     0.325	0	0	0	0	magma -b cut:=5000 D:=79 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
80	:	1674273536.852	     0.325	0	0	0	0	magma -b cut:=5000 D:=80 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
81	:	1674273536.854	     0.326	0	0	0	0	magma -b cut:=5000 D:=81 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
82	:	1674273536.856	     0.328	0	0	0	0	magma -b cut:=5000 D:=82 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
83	:	1674273536.860	     0.327	0	0	0	0	magma -b cut:=5000 D:=83 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
84	:	1674273536.864	     0.340	0	0	0	0	magma -b cut:=5000 D:=84 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
86	:	1674273536.870	     0.337	0	0	0	0	magma -b cut:=5000 D:=86 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
87	:	1674273536.880	     0.329	0	0	0	0	magma -b cut:=5000 D:=87 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
90	:	1674273536.890	     0.322	0	0	0	0	magma -b cut:=5000 D:=90 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
91	:	1674273536.897	     0.317	0	0	0	0	magma -b cut:=5000 D:=91 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
94	:	1674273536.904	     0.313	0	0	0	0	magma -b cut:=5000 D:=94 ambient:=SL gamma:=Gamma0 scripts/generate_inv.m
