Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
45	:	1674359481.888	     0.812	0	27	0	0	magma -b label:=2.2.5.1-101.1-1.1-sl-0 scripts/generate_kposs.m
6	:	1674359481.821	     0.880	0	29	0	0	magma -b label:=2.2.5.1-11.2-1.1-sl-0 scripts/generate_kposs.m
46	:	1674359481.890	     0.814	0	27	0	0	magma -b label:=2.2.5.1-101.2-1.1-sl-0 scripts/generate_kposs.m
58	:	1674359481.909	     0.798	0	27	0	0	magma -b label:=2.2.5.1-131.2-1.1-sl-0 scripts/generate_kposs.m
51	:	1674359481.898	     0.811	0	27	0	0	magma -b label:=2.2.5.1-121.1-1.1-sl-0 scripts/generate_kposs.m
30	:	1674359481.862	     0.848	0	26	0	0	magma -b label:=2.2.5.1-71.1-1.1-sl-0 scripts/generate_kposs.m
40	:	1674359481.879	     0.834	0	26	0	0	magma -b label:=2.2.5.1-95.1-1.1-sl-0 scripts/generate_kposs.m
57	:	1674359481.907	     0.812	0	27	0	0	magma -b label:=2.2.5.1-131.1-1.1-sl-0 scripts/generate_kposs.m
64	:	1674359481.918	     0.803	0	27	0	0	magma -b label:=2.2.5.1-149.1-1.1-sl-0 scripts/generate_kposs.m
60	:	1674359481.912	     0.812	0	27	0	0	magma -b label:=2.2.5.1-139.2-1.1-sl-0 scripts/generate_kposs.m
48	:	1674359481.893	     0.834	0	27	0	0	magma -b label:=2.2.5.1-109.2-1.1-sl-0 scripts/generate_kposs.m
9	:	1674359481.826	     0.903	0	29	0	0	magma -b label:=2.2.5.1-19.2-1.1-sl-0 scripts/generate_kposs.m
54	:	1674359481.902	     0.848	0	27	0	0	magma -b label:=2.2.5.1-124.1-1.1-sl-0 scripts/generate_kposs.m
36	:	1674359481.872	     0.891	0	26	0	0	magma -b label:=2.2.5.1-80.1-1.1-sl-0 scripts/generate_kposs.m
61	:	1674359481.914	     0.851	0	27	0	0	magma -b label:=2.2.5.1-144.1-1.1-sl-0 scripts/generate_kposs.m
63	:	1674359481.917	     0.859	0	27	0	0	magma -b label:=2.2.5.1-145.2-1.1-sl-0 scripts/generate_kposs.m
80	:	1674359482.535	     0.674	0	27	0	0	magma -b label:=2.2.5.1-181.1-1.1-sl-0 scripts/generate_kposs.m
66	:	1674359482.456	     0.777	0	27	0	0	magma -b label:=2.2.5.1-151.1-1.1-sl-0 scripts/generate_kposs.m
85	:	1674359482.548	     0.688	0	27	0	0	magma -b label:=2.2.5.1-199.1-1.1-sl-0 scripts/generate_kposs.m
81	:	1674359482.537	     0.702	0	27	0	0	magma -b label:=2.2.5.1-181.2-1.1-sl-0 scripts/generate_kposs.m
89	:	1674359482.570	     0.674	0	27	0	0	magma -b label:=2.2.5.1-209.1-1.1-sl-0 scripts/generate_kposs.m
83	:	1674359482.544	     0.703	0	27	0	0	magma -b label:=2.2.5.1-191.2-1.1-sl-0 scripts/generate_kposs.m
71	:	1674359482.505	     0.757	0	27	0	0	magma -b label:=2.2.5.1-164.2-1.1-sl-0 scripts/generate_kposs.m
74	:	1674359482.513	     0.776	0	27	0	0	magma -b label:=2.2.5.1-171.2-1.1-sl-0 scripts/generate_kposs.m
84	:	1674359482.546	     0.746	0	27	0	0	magma -b label:=2.2.5.1-196.1-1.1-sl-0 scripts/generate_kposs.m
76	:	1674359482.526	     0.767	0	27	0	0	magma -b label:=2.2.5.1-176.2-1.1-sl-0 scripts/generate_kposs.m
65	:	1674359482.428	     0.880	0	27	0	0	magma -b label:=2.2.5.1-149.2-1.1-sl-0 scripts/generate_kposs.m
98	:	1674359482.616	     0.696	0	27	0	0	magma -b label:=2.2.5.1-229.1-1.1-sl-0 scripts/generate_kposs.m
109	:	1674359482.672	     0.643	0	27	0	0	magma -b label:=2.2.5.1-251.1-1.1-sl-0 scripts/generate_kposs.m
88	:	1674359482.567	     0.759	0	27	0	0	magma -b label:=2.2.5.1-205.2-1.1-sl-0 scripts/generate_kposs.m
99	:	1674359482.620	     0.716	0	27	0	0	magma -b label:=2.2.5.1-229.2-1.1-sl-0 scripts/generate_kposs.m
87	:	1674359482.561	     0.785	0	27	0	0	magma -b label:=2.2.5.1-205.1-1.1-sl-0 scripts/generate_kposs.m
78	:	1674359482.531	     0.819	0	27	0	0	magma -b label:=2.2.5.1-179.2-1.1-sl-0 scripts/generate_kposs.m
91	:	1674359482.573	     0.779	0	27	0	0	magma -b label:=2.2.5.1-209.3-1.1-sl-0 scripts/generate_kposs.m
